Branche,Männer,Frauen
Architektur- und Ingenieurbüros,8100,6500
Beherbergung,4600,4400
Detailhandel,5600,4700
Erbringung von Finanzdienstleistungen,12100,8700
Erbringung von sonstigen Dienstleistungen,7300,6000
Erbringung von sonstigen wirtschaftlichen Dienstleistungen,5500,4400
Erziehung und Unterricht,8900,7300
Fahrzeugbau,7900,7400
Forschung und Entwicklung,10500,8000
Gastronomie,4700,4400
Gesundheitswesen,8200,6600
Grosshandel,7700,6800
Grundstücks- und Wohnungswesen,7700,6700
Handel und Reparatur von Motorfahrzeugen,6500,6000
Heime (ohne Erholungs- und Ferienheime),6600,5900
Herstellung von Datenverarbeitungsgeräten und Uhren,9000,6400
Herstellung von elektrischen Ausrüstungen,7000,5600
Herstellung von Gummi- und Kunststoffwaren,6300,5500
Herstellung von Holzwaren, Papier und Druckerzeugnissen,6400,5500
Herstellung von Metallerzeugnissen,7000,5800
Herstellung von Nahrungsmitteln und Tabakerzeugnissen,5800,4900
Herstellung von pharmazeutischen Erzeugnissen,8000,6600
Herstellung von Textilien und Bekleidung,6100,5000
Hoch- und Tiefbau ,6700,7200
Informationstechnologische und Informationsdienstleistungen,10200,8200
Kokerei, Mineralölverarbeitung und Herstellung von chemischen Erzeugnissen,7200,6200
Kunst, Unterhaltung und Erholung,7200,6300
Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,6300,6300
Landverkehr und Transport in Rohrfernleitungen,5700,5600
Maschinenbau,8100,6500
Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,11600,7700
Post-, Kurier- und Expressdienste,5200,5800
Rechts- und Steuerberatung, Wirtschaftsprüfung,10300,7900
Schifffahrt und Luftfahrt,8500,4900
Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten,7400,6300
Sonstige Herstellung von Waren, Reparatur und Installation,7300,6700
Sonstiges Baugewerbe ,6500,6300
Sozialwesen (ohne Heime),7200,6000
Telekommunikation,10200,6700
Unternehmensverwaltung und -führung; Unternehmensberatung,11500,8500
Verlagswesen, audiovisuelle Medien und Rundfunk,9000,7900
Vermittlung und Überlassung von Arbeitskräften,5600,5600
Versicherungen,10700,7700
